"ID","Question text","Exam","Answer1","BoolAnswer1","Explanation1","Answer2","BoolAnswer2","Explanation2","Answer3","BoolAnswer3","Explanation3"
"0","Sei $L ⊆ Σ ∗$ eine Sprache mit $LL = Σ_{*}$ . Welche Aussagen sind wahr?","Sommer24_Retake","L ist unendlich","True","Wenn L endlich wäre; wäre LL auch endlich","ε ∈ L","True","Da ε ∈ Σ ∗ ; muss auch ε ∈ LL gelten; also ε ∈ L","LLL = Σ*","True","Es gilt LLL = Σ ∗ L ⊇ Σ ∗ wegen ε ∈ L"
"1","Sei L ⊆ Σ ∗ regulär.Welche der folgenden Sprachen sind regulär?","Sommer24_Retake","${u^R v | u, v ∈ L}$","True","Das ist $L R L $; Abgeschlossenheit unter Konkatenation","$ u^R u | u ∈ L }","False","Gegenbeispiel: L =Σ*","$ {uv | u; v ∈ L ∧ |u| = |v|}$","False"," = L (ba ∗ ) . Dann ist diese Sprache { ba n ba n | n ∈ N}, was nicht regulär ist."
"2","Welche der folgenden kontextfreien Grammatiken sind mehrdeutig?","Sommer24_Retake","S → SS | a","True","aaa hat zwei Syntaxbäume","S → Sa | Sb | ε","False","Die Terminale werden von rechts nach links erzeugt","S → TT; T → aT | bT | a | b","True","TODO"
"3","Sei A ⊆ Σ* regulär und B ⊆ Σ* kontextfrei. Welche der folgenden Sprachen sind kontextfrei?","Sommer24_Retake","A ∪ B","False","Gegenbeispiel: A = ∅ ; B = { a n b n a n | n ≥ 0 }"," A komplement ∪ B","True","A ist nach Abschlusseigenschaften regulär; also kontextfrei; Abgeschlossenheit unter Vereinigung","AB","True","A ist kontextfrei; Abgeschlossenheit unter Konkatenation."
"4","Sei L ⊆ Σ∗ eine endliche Sprache mit |L| = |L∗|. Welche Aussagen sind wahr?","Sommer24","L ist regulär","True","TODO","ε ∈ L","True","TODO","|L| = |LL|","True","TODO"
"5","Sei L ⊆ Σ∗ und L' := {w ∈ L : |w|² ≤ 10|w|}. Welche Aussagen sind wahr?","Sommer24","L' ist regulär","True","TODO","L' ist kontextfrei","True","TODO","L' ist deterministisch kontextfrei","True","TODO"
"6","Sei L ⊆ Σ∗ regulär und k > 0. Welche der folgenden Sprachen sind regulär?","Einführung in die Theoretische Informatik","{w ∈ L : |w| ≡ 0 (mod k)}","True","$L ∩ (Σ^k)* ist regulär$, Abgeschlossenheit unter Schnitt.","${w1...wk : w1,...,wk ∈ L}$","True","L^k, Abgeschlossenheit unter Konkatenation.","${wk : w ∈ L}$","False","Für k=2 bekannt nicht regulär."
"7","Sei L ⊆ Σ∗ kontextfrei. Welche der folgenden Sprachen sind kontextfrei?","Einführung in die Theoretische Informatik","L","True","Bekannt aus Vorlesung (Satz 4.32).","$L ∪ LR$","True","Folgt aus Abschlusseigenschaften.","$L ∩ L^R$","False","Gegenbeispiel: L = {a^n b^n a^m} → nicht kontextfrei."
"8","Sei G die Grammatik mit Produktionen S → aT T → Sb. Welche Aussagen sind wahr?","Einführung in die Theoretische Informatik","G ist rechtslinear","False","T → Sb ist nicht rechtslinear.","G ist kontextfrei","True","TODO","L(G) ist regulär","True","L(G) = ∅, also regulär."
"9","Wir betrachten die Sprache L:=anbmcm∣n,m∈Nu¨bera;b;cL:=anbmcm∣n,m∈Nu¨bera;b;c.","Sommer23_Retake","Es gibt einen DPDA, der mit Endzustand akzeptiert und L erkennt.","True","TODO","Es gibt einen NFA, der L erkennt.","False","TODO","Es gibt einen DPDA, der mit leerem Keller akzeptiert und L erkennt.","False","siehe Präfixbedingung"
"10","Wir betrachten Sprachen über {a; b}.","Sommer23_Retake","Die Menge der regulären Sprachen ist abzählbar.","True","TODO","Die Menge der Sprachen; die nicht kontextfrei sind; ist abzählbar.","False","TODO","Die Menge der Sprachen; die kontextfrei aber nicht regulär sind; ist abzählbar.","True","TODO"
"11","Seien A; B Sprachen über demselben Alphabet.","Sommer23_Retake","Wenn A und B nicht regulär sind; dann ist A ∪ B nicht regulär.","False","TODO","Wenn A regulär und B kontextfrei ist; dann ist A ∩ B kontextfrei.","True","TODO","Wenn A ∪ B = B und B regulär ist, dann ist A regulär.","False","TODO"
"12","Wir definieren L1 := {uv | u ≠ v}; L2 := {uv | |u| = |v|}.","Sommer23_Retake","L1 ist regulär.","True","TODO","L2* = L2.","True","TODO","L1 ∪ L2 ist regulär.","True","TODO"
"13","Wir betrachten die Sprache L := {v1bw1#v2aw2 | v1 = v2 ∧ w1 = w2}.","Sommer23_Retake","Lab#bb = La#b.","True","TODO","Laba#ba = Lab#ba.","True","TODO","Lab# = Lba#.","True","TODO"
"14","Seien A ; B ⊆ Σ ∗ Sprachen. Welche der folgenden Aussagen sind wahr?","Sommer22_retake","$| A |^2 = | A ^2 |$","False","Gegenbeispiel: $A = { a; aa }","${uv : u ∈ A ; v ∈ B } 2= { uv : u; v ∈ AB }","True","Beides gleich mit $(AB)^2","A ⊆ (A ∪ B ∗ ) ^2","True","Man beachte $ε ∈ B ∗"
"15","Sei M = (Q; Σ; δ ; q 0 ; F) ein DFA. Wir bezeichnen einen Zustand q ∈ Q als Fangzustand; wenn von q aus kein Finalzustand erreicht werden kann; also ˆδ (q; w) ◁∈ F für alle w ∈ Σ ∗ . Für welche der folgenden regulären Ausdrücke r gibt es einen DFA M mit L (M) = L (r) ; sodass M keinen Fangzustand hat?","Sommer22_Retake","$a∗b∗a∗b∗","False","$(q 0 ; ba)$ ist immer ein Fangzustand","$bab ∗ (a | b) ∗","False","δ (q 0 ; a) ist immer ein Fangzustand","$(a | b) ∗ bab","True","Aus jedem Zustand wird durch Einlesen von ba akzeptiert."
